Neighborhood,Latitude,Longitude
Agnovad,21.185780000000022,72.83679000000006
"Akoti, Gujarat",21.17453000000006,73.19443000000007
Amroli,21.237760000000037,72.85623000000004
Athwalines,21.182840000000056,72.80776000000003
Bajipura,22.68966000000006,73.04369000000008
Bamroli,21.13444000000004,72.81642000000005
Barbodhan,21.220650000000035,72.70805000000007
Bardoli,21.133600000000058,73.10661000000005
Bedkuvadoor,21.185780000000022,72.83679000000006
Bhadbhuja,21.185780000000022,72.83679000000006
Bhagal,21.197370000000035,72.82697000000007
Bhavanivad,21.26941434693289,72.95542404302037
Bhimrad,21.131590000000074,72.79619000000008
Chalthan,21.155760000000043,72.96000000000004
Chhaprabhatha,21.276440000000036,72.80655000000007
"Ena, Gujarat",21.08893000000006,73.01481000000007
Ghod Dod Road,21.176522999974978,72.81900900000278
Godadara,21.169840000000022,72.87613000000005
Godsamba,21.275030000000072,73.25078000000008
Gopipura,21.193190000000072,72.82404000000008
Haripura,21.208930000000066,73.20511000000005
Ichchhapor,21.193850000000054,72.73244000000005
Inderpura,21.193435725630138,72.83283709510232
Kadod,21.223160000000064,73.22745000000003
Kadodara,21.167730000000063,72.96227000000005
Kamrej,21.282340000000033,72.97208000000006
Kanakpur-Kansad,21.06674000000004,72.87900000000008
"Kanpura, Surat",21.17077000000006,72.85762000000005
Karchelia,20.969940000000065,73.20523000000003
Katargam,21.225610000000074,72.82733000000007
Kathor,21.289680000000033,72.94094000000007
Kholvad,21.26652000000007,72.93234000000007
"Kim, Gujarat",21.40139000000005,72.92521000000005
Kosad,21.264270000000067,72.86181000000005
Kosamba,21.465080000000057,72.95468000000005
Kukarmunda,21.548020000000065,74.12076000000008
Lajpor,21.067240000000027,72.89582000000007
Limbayat,21.170980000000043,72.85692000000006
Limla,21.174870000000055,72.71149000000008
Mahidharpura,21.20273000000003,72.83420000000007
"Mahuva, Surat",21.016730000000052,73.13754000000006
Mahuvaria,20.90172000000007,73.30225000000007
Mandvi (Surat),21.259100000000046,73.30361000000005
Mosali,21.457210000000032,73.15541000000007
"Mota, Gujarat",21.195580000000064,72.82020000000006
Naldhara,20.99060000000003,73.19087000000007
Navsari,21.096870000000024,72.87364000000008
Olpad,21.336520000000064,72.74939000000006
Parvat,21.182630000000074,72.87340000000006
"Puna, Gujarat",21.25443000000007,73.26683000000008
Rander,21.21461000000005,72.79926000000006
Raniamba,21.306890000000067,73.22920000000005
Sachin INA,21.102250000000026,72.86496000000005
"Sachin, Gujarat",21.078820000000064,72.87379000000004
Sarbhon,21.070740000000058,73.09474000000006
"Sayan, India",21.318370000000073,72.87772000000007
Sevni,21.238270000000057,73.07875000000007
Tadkeshwar,21.359110000000044,73.07740000000007
Tarasadi,21.067400000000077,73.13433000000003
Tarsadi,21.067400000000077,73.13433000000003
Udhna,21.160240000000044,72.83912000000004
Ukai,21.185780000000022,72.83679000000006
Ukaidam,21.185780000000022,72.83679000000006
"Un, Surat",21.11009000000007,72.86579000000006
Unchamala,21.214270000000056,73.39829000000003
Utran,21.227910000000065,72.86106000000007
Vachhavad,20.972630000000038,73.13722000000007
Vaheval,20.877270000000067,73.29632000000004
"Vankal, Surat",21.22353000000004,72.79621000000003
Varachha,21.203540000000032,72.85385000000008
Variav,21.263780000000054,72.81771000000003
Vastadevdi,21.218770000000063,72.83367000000004
Vedachhi,21.245660000000044,72.81954000000007
Vesu,21.135920000000056,72.77322000000004
Zankhvav,21.449140000000057,73.31883000000005
Zervavra,21.185780000000022,72.83679000000006
